Agriculture#20 NN
AnimalHusbandry#35 Agriculture
Archery#35 Agriculture
BronzeWorking#55 Mining
Calender#70 Pottery
Masonry#55 Mining
Mining#35 Agriculture
Pottery#35 Agriculture
TheWheel#55 AnimalHusbandry
Trapping#55 AnimalHusbandry
Writing#55 Pottery
Construction#100 Masonry
HorsebackRiding#100 TheWheel
IronWorking#150 BronzeWorking
Mathematics#100 Archery,TheWheel
Philosophy#100 Writing
Chivalry#440 CivilService,HorsebackRiding,Currency
CivilService#400 Philosophy,Trapping
Currency#250 Mathematics
Education#440 Theology
Engineering#250 Mathematics,Construction
Machinary#440 Engineering
MetalCasting#240 IronWorking
Physics#440 Engineering,MetalCasting
Steel#440 MetalCasting
Theology#250 Calender,Philosophy
Acoustics#650 Education
Archaeology#1300 Acoustics
Banking#650 Chivalry,Education
Chemistry#900 GunPowder
Economics#900 Banking,PrintingPress
Fertilizer#1300 Chemistry
GunPowder#680 Physics,Steel
Metallorgy#900 GunPowder
MilitaryScience#1300 Chemistry,Economics
PrintingPress#650 Machinary,Physics
Rifling#1425 Metallorgy
ScientificTheory#1300 Acoustics
Biology#1680 ScientificTheory,Archaeology
Combustion#2200 ReplacableParts,Railroad,Dynamite
Dynamite#1900 Rifling,Fertilizer
Electricity#1900 Biology,SteamPower
Flight#2200 ReplacableParts
Radio#2200 Electricity
Railroad#1900 SteamPower
Refrigeration#2200 Electricity
ReplacableParts#1900 SteamPower
SteamPower#1680 ScientificTheory,MilitaryScience
Telegraphy#2200 Electricity
